timestamp_secs,measured_kW
1699588877,4614.08
1699589477,4767.07
1699590077,4818.79
1699590677,4602.22
1699591277,4106.11
1699591877,4103.30
1699592477,4089.50
1699593077,4314.22
1699593677,4215.28
1699594277,4095.64
1699594877,4187.10
1699595477,4764.69
1699596077,4537.00
1699596677,4421.51
1699597277,4495.64
1699597877,4405.93
1699598477,4523.07
1699599077,4601.12
1699599677,4619.85
1699600277,4460.50
1699600877,4487.54
1699601477,4632.22
1699602077,4506.91
1699602677,4786.58
1699603277,4655.45
1699603877,4763.23
1699604477,4745.80
1699605077,4632.81
1699605677,4569.21
1699606277,4746.70
1699606877,4677.14
1699607477,4678.58
1699608077,4793.78
1699608677,4625.36
1699609277,4908.65
1699609877,4780.57
1699610477,4938.93
1699611077,4828.21
1699611677,4958.72
1699612277,4851.79
1699612877,4872.66
1699613477,4769.51
1699614077,4668.18
1699614677,4306.70
1699615277,4299.03
1699615877,4047.24
1699616477,4303.82
1699617077,3981.32
1699617677,4108.65
1699618277,4237.74
1699618877,4326.87
1699619477,4270.58
1699620077,4354.19
1699620677,3969.43
1699621277,4278.20
1699621877,4429.28
1699622477,4327.71
1699623077,4278.91
1699623677,4615.87
1699624277,4210.87
1699624877,4519.64
1699625477,4273.34
1699626077,4298.07
1699626677,4270.77
1699627277,4206.01
1699627877,3949.83
1699628477,4096.36
1699629077,3987.74
1699629677,3830.55
1699630277,3827.63
1699630877,3776.50
1699631477,3813.17
1699632077,3812.44
1699632677,3649.73
1699633277,3628.18
1699633877,3863.26
1699634477,3770.93
1699635077,3801.55
1699635677,3696.58
1699636277,3598.23
1699636877,3687.59
1699637477,3617.53
1699638077,3627.70
1699638677,3629.28
1699639277,3511.76
1699639877,3599.60
1699640477,3354.09
1699641077,3553.90
1699641677,3482.82
1699642277,3369.40
1699642877,3457.36
1699643477,3595.34
1699644077,3497.64
1699644677,3477.89
1699645277,4367.52
1699645877,4529.02
1699646477,4441.38
1699647077,4697.13
1699647677,4806.33
1699648277,4714.86
1699648877,5056.34
1699649477,4789.79
1699650077,4623.25
1699650677,4821.72
1699651277,4858.63
1699651877,4609.29
1699652477,4707.57
1699653077,4829.85
1699653677,4744.56
1699654277,4663.37
1699654877,4813.05
1699655477,4723.14
1699656077,4806.17
1699656677,4800.26
1699657277,4515.72
1699657877,4478.06
1699658477,4397.72
1699659077,4274.12
1699659677,4308.35
1699660277,4213.19
1699660877,4324.14
1699661477,4074.12
1699662077,4276.87
1699662677,4335.63
1699663277,4329.47
1699663877,4323.48
1699664477,4245.45
1699665077,4109.80
1699665677,4184.95
1699666277,3955.33
1699666877,3570.13
1699667477,3569.69
1699668077,3958.05
1699668677,4176.99
1699669277,3925.66
1699669877,3758.04
1699670477,4110.92
1699671077,3946.82
1699671677,3975.89
1699672277,3742.96
1699672877,3793.55
1699673477,3804.81
1699674077,4277.83
1699674677,3619.00
1699675277,3844.77
1699675877,3719.95
1699676477,4008.05
1699677077,3843.08
1699677677,3755.94
1699678277,4047.07
1699678877,3816.18
1699679477,3884.76
1699680077,4037.60
1699680677,3951.65
1699681277,3927.11
1699681877,3871.60
1699682477,3959.18
1699683077,3788.45
1699683677,3852.24
1699684277,3561.84
1699684877,3932.52
1699685477,3952.48
1699686077,3549.53
1699686677,3653.56
1699687277,3523.15
1699687877,3924.02
1699688477,3600.11
1699689077,3724.06
1699689677,3562.92
1699690277,3417.47
1699690877,3780.33
1699691477,3781.39
1699692077,3654.75
1699692677,3748.89
1699693277,3254.63
1699693877,4753.34
1699694477,4745.71
1699695077,4759.24
1699695677,4724.33
1699696277,4965.65
1699696877,4799.15
1699697477,4983.16
1699698077,4804.90
1699698677,5016.07
1699699277,4763.99
1699699877,4806.40
1699700477,4698.71
1699701077,5263.93
1699701677,4996.80
1699702277,5030.09
1699702877,4927.22
1699703477,4793.78
1699704077,4759.56
1699704677,4780.74
1699705277,4796.16
1699705877,4886.76
1699706477,4694.43
1699707077,5028.58
1699707677,4936.05
1699708277,3306.62
1699708877,3693.51
1699709477,3601.18
1699710077,3695.51
1699710677,3403.65
1699711277,3654.27
1699711877,3685.31
1699712477,3723.24
1699713077,3333.13
1699713677,3711.89
1699714277,3605.53
1699714877,3563.78
1699715477,4992.21
1699716077,4884.71
1699716677,4890.54
1699717277,5109.21
1699717877,4963.74
1699718477,4767.34
1699719077,5331.66
1699719677,4889.65
1699720277,4937.66
1699720877,4708.02
1699721477,4846.51
1699722077,5117.12
1699722677,3542.34
1699723277,4720.18
1699723877,4827.87
1699724477,4981.31
1699725077,4976.56
1699725677,4828.66
1699726277,3658.35
1699726877,4874.14
1699727477,4883.12
1699728077,4976.08
1699728677,5015.50
1699729277,4998.34
1699729877,4725.28
1699730477,4943.26
1699731077,4886.49
1699731677,4957.81
1699732277,4692.31
1699732877,4904.63
1699733477,4889.13
1699734077,5051.52
1699734677,4863.40
1699735277,5063.58
1699735877,4934.23
1699736477,4978.00
1699737077,5004.24
1699737677,5194.04
1699738277,5075.90
1699738877,4841.15
1699739477,4827.61
1699740077,5023.17
1699740677,4962.23
1699741277,3644.62
1699741877,5109.01
1699742477,5027.13
1699743077,4914.79
1699743677,4801.55
1699744277,4652.61
1699744877,5050.36
1699745477,5094.60
1699746077,4945.50
1699746677,4859.56
1699747277,4966.04
1699747877,4945.90
1699748477,4906.14
1699749077,4597.47
1699749677,4872.62
1699750277,4862.20
1699750877,4597.31
1699751477,4309.58
1699752077,4693.61
1699752677,4689.99
1699753277,4562.97
1699753877,4967.28
1699754477,4428.85
1699755077,4813.12
1699755677,4831.17
1699756277,4533.65
1699756877,4881.91
1699757477,4854.65
1699758077,4891.86
1699758677,4632.91
1699759277,4589.51
1699759877,4510.59
1699760477,4660.49
1699761077,4623.13
1699761677,4561.10
1699762277,4524.17
1699762877,4882.34
1699763477,4714.83
1699764077,4719.65
1699764677,4777.22
1699765277,4514.11
1699765877,4692.35
1699766477,4751.91
1699767077,4741.67
1699767677,4935.80
1699768277,4094.90
1699768877,4072.17
1699769477,3758.29
1699770077,3787.29
1699770677,3469.62
1699771277,3737.07
1699771877,3510.88
1699772477,3550.29
1699773077,3756.83
1699773677,3883.54
1699774277,4940.60
1699774877,5059.05
1699775477,4767.57
1699776077,5002.34
1699776677,4884.27
1699777277,4815.26
1699777877,5168.06
1699778477,4688.95
1699779077,4896.09
1699779677,4966.25
1699780277,4990.21
1699780877,5053.90
1699781477,3568.26
1699782077,3456.28
